date&time,raw_yaw,filter_yaw,smooth_yaw,raw_pitch,filter_pitch,smooth_pitch,
05-07-2020 22:00,11,11,11,12,12,12, 
05-07-2020 22:00,0,0,-8.88E-16,12,12,12, 
05-07-2020 22:00,0,0,0,11,11,11, 
05-07-2020 22:00,0,0,-2.22E-16,11,11,11, 
05-07-2020 22:00,0,0,-5.55E-17,11,11,11, 
05-07-2020 22:00,0,0,6.94E-18,11,11,11, 
05-07-2020 22:00,-4,-4,-4,11,11,11, 
05-07-2020 22:00,-18,-18,-18,11,11,11, 
05-07-2020 22:00,-10,-10,-10,-10,-10,-10, 
05-07-2020 22:00,-10,-10,-10,-10,-10,-10, 
05-07-2020 22:00,-10,-10,-10,-10,-10,-10, 
05-07-2020 22:00,-17,-17,-17,-17,-17,-17, 
05-07-2020 22:00,-12,-12,-12,-12,-12,-12, 
05-07-2020 22:00,-8,-8,-8,-8,-8,-8, 
05-07-2020 22:00,-6,-6,-6,-6,-6,-6, 
05-07-2020 22:00,-4,-4,-4,-4,-4,-4, 
05-07-2020 22:00,-3,-3,-3,-3,-3,-3, 
05-07-2020 22:00,-2,-2,-2,-2,-2,-2, 
05-07-2020 22:00,-2,-2,-2,-2,-2,-2, 
05-07-2020 22:00,-2,-2,-2,-2,-2,-2, 
05-07-2020 22:00,-2,-2,-2,-2,-2,-2, 
05-07-2020 22:00,1,1,1,1,1,1, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,1,1,1,1,1,1, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,1,1,1,1,1,1, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,2,2,2,2,2,2, 
05-07-2020 22:00,3,3,3,2,2,2, 
05-07-2020 22:00,5,5,5,2,2,2, 
05-07-2020 22:00,5,5,5,2,2,2, 
05-07-2020 22:00,4,4,4,2,2,2, 
05-07-2020 22:00,4,4,4,2,2,2, 
05-07-2020 22:00,4,4,4,4,4,4, 
05-07-2020 22:00,5,5,5,5,5,5, 
05-07-2020 22:00,5,5,5,5,5,5, 
05-07-2020 22:00,5,5,5,5,5,5, 
05-07-2020 22:00,5,5,5,5,5,5, 
05-07-2020 22:00,5,5,5,5,5,5, 
05-07-2020 22:00,5,5,5,5,5,5, 
05-07-2020 22:00,5,5,5,5,5,5, 
05-07-2020 22:00,5,5,5,5,5,5, 
05-07-2020 22:00,5,5,5,5,5,5, 
05-07-2020 22:00,5,5,5,5,5,5, 
